province,district,2000,2001,2002,2003,2004,2005,2006,2007
adana,aladag,23579,22820,22061,21302,20163,19024,18265,17506
adana,ceyhan,178543,176033,173522,171012,167246,163480,160970,158459
adana,feke,20890,20715,20540,20365,20102,19839,19664,19489
adana,imamoglu,43361,41895,40428,38962,36762,34562,33096,31629
adana,karaisali,35122,34324,33527,32729,31532,30336,29538,28740
adana,karatas,32375,31014,29653,28291,26250,24208,22846,21485
adana,kozan,130875,130013,129151,128289,126997,125704,124842,123980
adana,pozanti,21756,21524,21291,21059,20710,20361,20129,19896
adana,saimbeyli,17149,17227,17306,17384,17501,17619,17697,17775
adana,seyhan,849283,869122,888960,908799,938557,968315,988153,1007992
adana,tufanbeyli,20171,19935,19698,19462,19107,18752,18516,18279
adana,yumurtalik,22575,22148,21720,21293,20652,20010,19583,19155
adana,yuregir,453799,462357,470916,479474,492311,505149,513707,522265
adiyaman,besni,108667,105142,101617,98092,92806,87518,83993,80468
adiyaman,celikhan,20271,19681,19090,18500,17614,16728,16138,15547
adiyaman,gerger,27208,27033,26859,26684,26423,26160,25986,25811
adiyaman,golbasi,52988,52275,51562,50849,49780,48710,47997,47284
adiyaman,kahta,114994,115077,115160,115243,115368,115492,115575,115658
adiyaman,merkez,249530,250152,250774,251396,252329,253261,253883,254505
adiyaman,samsat,12541,12268,11995,11722,11312,10902,10629,10356
adiyaman,sincik,21828,21766,21705,21643,21551,21458,21397,21335
adiyaman,tut,15784,15286,14788,14289,13542,12795,12296,11798
afyonkarahisar,basmakci,15084,14615,14145,13676,12972,12268,11798,11329
afyonkarahisar,bayat,8753,8820,8887,8953,9054,9154,9220,9287
afyonkarahisar,bolvadin,79888,75717,71546,67375,61119,54862,50691,46520
afyonkarahisar,cay,45635,44415,43195,41975,40146,38316,37096,35876
afyonkarahisar,cobanlar,12364,12455,12546,12637,12774,12910,13001,13092
afyonkarahisar,dazkiri,15620,15063,14506,13949,13115,12279,11722,11165
afyonkarahisar,dinar,88304,83555,78806,74057,66933,59809,55060,50311
afyonkarahisar,emirdag,47396,47246,47097,46947,46723,46498,46349,46199
afyonkarahisar,evciler,9486,9376,9267,9157,8993,8828,8719,8609
afyonkarahisar,hocalar,12824,12681,12539,12396,12183,11968,11826,11683
afyonkarahisar,ihsaniye,33220,32886,32553,32219,31718,31218,30884,30550
afyonkarahisar,iscehisar,21978,22245,22512,22779,23180,23580,23847,24114
afyonkarahisar,kiziloren,4132,3977,3821,3666,3433,3200,3044,2889
afyonkarahisar,merkez,201110,205322,209534,213746,220065,226383,230595,234807
afyonkarahisar,sandikli,76618,74771,72924,71077,68308,65537,63690,61843
afyonkarahisar,sincanli,58536,56550,54565,52579,49601,46622,44637,42651
afyonkarahisar,suhut,59284,56974,54663,52353,48887,45421,43111,40800
afyonkarahisar,sultandagi,22184,21892,21600,21308,20870,20431,20139,19847
agri,diyadin,40768,41414,42060,42706,43676,44645,45291,45937
agri,dogubeyazit,105754,106447,107140,107833,108874,109913,110606,111299
agri,eleskirt,48892,47889,46886,45883,44378,42873,41870,40867
